city,country_code
ENVIGADO                      ,CO
ESPINAL                       ,CO
FACATATIVA                    ,CO
FALAN                         ,CO
FILADELFIA                    ,CO
FILANDIA                      ,CO
FLORENCIA                     ,CO
FLORIAN                       ,CO
FLORIDA                       ,CO
FLORIDA BLANCA                ,CO
FLORIDABLANCA                 ,CO
FONSECA                       ,CO
FRANCISCO PIZARRO             ,CO
FREDONIA                      ,CO
FRESNO                        ,CO
FRONTINO                      ,CO
FUENTE DE ORO                 ,CO
FUNDACION                     ,CO
FUNES                         ,CO
FUNZA                         ,CO
FUSAGASUGA                    ,CO
GACHALA                       ,CO
GACHANCIPA                    ,CO
GACHETA                       ,CO
GALAPA                        ,CO
GALERAS                       ,CO
GAMARRA                       ,CO
GARAGOA                       ,CO
GARZON                        ,CO
GENOVA                        ,CO
GIGANTE                       ,CO
GINEBRA                       ,CO
GIRARDOT                      ,CO
GIRARDOTA                     ,CO
GIRON                         ,CO
GOMEZ PLATA                   ,CO
GRANADA                       ,CO
GUACA                         ,CO
GUACARI                       ,CO
GUACHENE                      ,CO
GUACHETA                      ,CO
GUADALUPE                     ,CO
GUADUAS                       ,CO
GUAITARILLA                   ,CO
GUALMATAN                     ,CO
GUAMAL                        ,CO
GUAMO                         ,CO
GUAPI                         ,CO
GUAPOTA                       ,CO
GUARNE                        ,CO
GUASCA                        ,CO
GUATAPE                       ,CO
GUATAVITA                     ,CO
GUATEQUE                      ,CO
GUATICA                       ,CO
GUAVATA                       ,CO
GUAYABAL DE SIQUIMA           ,CO
GUAYATA                       ,CO
GÜEPSA                        ,CO
GÜICAN                        ,CO
HACARI                        ,CO
HATO COROZAL                  ,CO
HATONUEVO                     ,CO
HELICONIA                     ,CO
HERVEO                        ,CO
HISPANIA                      ,CO
HONDA                         ,CO
HUILA                         ,CO
IBAGUE                        ,CO
ICONONZO                      ,CO
INIRIDA                       ,CO
INZA                          ,CO
IPIALES                       ,CO
IQUIRA                        ,CO
ISNOS                         ,CO
ISTMINA                       ,CO
ITAGUI                        ,CO
ITAGÜI                        ,CO
JAMUNDI                       ,CO
JARDIN                        ,CO
JENESANO                      ,CO
JERICO                        ,CO
JESUS MARIA                   ,CO
JUAN DE ACOSTA                ,CO
JUNIN                         ,CO
LA APARTADA                   ,CO
LA ARGENTINA                  ,CO
LA BELLEZA                    ,CO
LA CALERA                     ,CO
LA CEJA                       ,CO
LA CELIA                      ,CO
LA CUMBRE                     ,CO
LA DORADA                     ,CO
LA ESPERANZA                  ,CO
LA ESTRELLA                   ,CO
LA FLORIDA                    ,CO
LA GLORIA                     ,CO
LA GUAJIRA                    ,CO
LA JAGUA DE IBIRICO           ,CO
LA MERCED                     ,CO
LA MESA                       ,CO
LA MONTANITA                  ,CO
LA MONTAÑITA                  ,CO
LA PALMA                      ,CO
LA PAZ                        ,CO
LA PAZ  ROBLES                ,CO
LA PEÑA                       ,CO
LA PINTADA                    ,CO
LA PLATA                      ,CO
LA PLAYA                      ,CO
LA PRIMAVERA                  ,CO
LA SALINA                     ,CO
LA SIERRA                     ,CO
LA TEBAIDA                    ,CO
LA TOLA                       ,CO
LA UNION                      ,CO
LA UVITA                      ,CO
LA VEGA                       ,CO
LA VICTORIA                   ,CO
LA VIRGINIA                   ,CO
LABRANZAGRANDE                ,CO
LANDAZURI                     ,CO
LEBRIJA                       ,CO
LEIVA                         ,CO
LERIDA                        ,CO
LETICIA                       ,CO
LIBANO                        ,CO
LIBORINA                      ,CO
LINARES                       ,CO
LLORO                         ,CO
LOPEZ DE MICAY                ,CO
LORICA                        ,CO
LOS ANDES                     ,CO
LOS ANDES  SOTOMAYOR          ,CO
LOS CORDOBAS                  ,CO
LOS PALMITOS                  ,CO
LOS PATIOS                    ,CO
LOS SANTOS                    ,CO
LURUACO                       ,CO
MACEO                         ,CO
MADRID                        ,CO
MAGANGUE                      ,CO
MAHATES                       ,CO
MAICAO                        ,CO
MAJAGUAL                      ,CO
MALAGA                        ,CO
MALAMBO                       ,CO
MANATI                        ,CO
MANAURE                       ,CO
MANI                          ,CO
MANIZALES                     ,CO
MANTA                         ,CO
MANZANARES                    ,CO
MARGARITA                     ,CO
MARIA LA BAJA                 ,CO
MARINILLA                     ,CO
MARIQUITA                     ,CO
MARMATO                       ,CO
MARQUETALIA                   ,CO
MARSELLA                      ,CO
MARULANDA                     ,CO
MEDELLIN                      ,CO
MEDINA                        ,CO
MELGAR                        ,CO
MERCADERES                    ,CO
MESITAS                       ,CO
MILAN                         ,CO
MIRAFLORES                    ,CO
MIRANDA                       ,CO
MISTRATO                      ,CO
MITU                          ,CO
MOCOA                         ,CO
MOGOTES                       ,CO
MOMIL                         ,CO
MOMPOS                        ,CO
