"name","orig_id","streetAddress","state","location"
"ASSINMAN RBL AJUMAKO","AI1083407","Near The Lorry Station","Central","5.589014,-0.179432"
"OKOMFO ANOKYE RURAL BANK LTD AGONA","AI1082879","Opposite The Lorry Station","Ashanti","5.589014,-0.179432"
"BOSOMTWE RBL TREDE","AI1085607","Close To The Trede Lorry Station","Ashanti","5.589014,-0.179432"
"MANYA KROBO RBL KPONG","AI1084574","Near The Main Lorry Station","Eastern","5.589014,-0.179432"
"NKRANKWANTA AREA RBL NKRANKWANTA","AI1083913","Near Nkrankwanta Lorry Station","Brong Ahafo","5.589014,-0.179432"
"MPONUA RBL ASANKARE","AI1084529","At The Lorry Station","Eastern","5.589014,-0.179432"
"DANGME RBL NINGO","AI1083870","Near Ningo Lorry Station","Greater Accra","5.589014,-0.179432"
"DANGME RBL PRAMPRAM","AI1083881","Near Prampram Lorry Station","Greater Accra","5.589014,-0.179432"
"SUMA RBL GOKA","AI1083803","Near The Main Lorry Station","Brong Ahafo","5.589014,-0.179432"
"KWAHU PRASO RBL KWAHU TAFO","AI1083506","Near The Lorry Station","Eastern","5.589014,-0.179432"
"BAWJIASE RB ADEISO","AI1081603","Near Lorry Station","Central","5.589014,-0.179432"
"KWAHU PRASO RBL KWAHU PRASO","AI1083485","Near The Lorry Station","Eastern","5.589014,-0.179432"
"BOA MAAMOBI BRANCH","AI1270045","Hertz House Nima Highway","Greater Accra","5.607615,-0.203247"
"BOA ABOSSEY OKAI BRANCH","AI1270155","6 Korle Bu Mortuary Rd Opp Cen","Greater Accra","5.607615,-0.203247"
"BOA MADINA BRANCH","AI1270144","Hes No  B 90 Mdn Opp Planet Ho","Greater Accra","5.607615,-0.203247"
"BOA KWASHEIMAN BRANCH","AI1270090","Plot No  248 Motorway Ext  Acc","Greater Accra","5.607615,-0.203247"
"BOA ACCRA CENTRAL BRANCH","AI1270056","Olivant Arcade Near Utc Buildi","Greater Accra","5.607615,-0.203247"
"BOA EAST LEGON BRANCH","AI1270089","Plot No 38b Lagos Avenue","Greater Accra","5.607615,-0.203247"
"GHANA HOME LOANS HEAD OFFICE","AI1122261","1 Aviation Road Airport Residential Area","Greater Accra","5.616897,-0.176542"
"CONSOLIDATED BANK","AI1360696","Hse No C 466 12 Abavana Pigfarm","Greater Accra","5.5953,-0.201649"
"UBA GHANA","AI1170099","Near Fiesta Royale Hotel Dzorw","Greater Accra","5.609048,-0.203834"
"ACCESS BANK GHANA","AI1110381","Airport Business Office","Greater Accra","5.606095,-0.168124"
"ZENITH BANK GHANA","AI1160243","Kotoka International Airport","Greater Accra","5.606095,-0.168124"
"UBA GHANA","AI1170406","Kia T3","Greater Accra","5.606095,-0.168123"
"GTBANK GHANA","AI1100414","1 Airport Square, Plot 21","Greater Accra","5.604821,-0.16734"
"ATWIMA MPONUA RURAL BANK LTD SUAME","AI1082637","Opposite A Land","Ashanti","5.586733,-0.176314"
"GHANA POST COMPANY LTD","AI1001041","Cantoments","Greater Accra","5.586035,-0.17648"
"AMANANO RURAL BANK LTD BIBIANI","AI1082417","Bibiani Prodce Buying Company Building","Ashanti","5.607224,-0.207338"
"ECOBANK ACCRA MALL","AI1040705","Accra Mall Branch","Greater Accra","5.622041,-0.173939"
"ADANSI RBL MBROM","AI1087094","Within Achemfour Shopping Mall","Ashanti","5.622019,-0.173366"
"SBG ACCRA MALL","AI1400088","Shop No L01","Greater Accra","5.622348,-0.173765"
"GHANA COMMERCIAL BANK TEMA MARKET","AI1180306","Gcb Near Shell Filling Station","Greater Accra","5.60847,-0.209601"
"SBG TARKORADI","AI1400066","Kiston Avenue House","Western","5.627141,-0.181391"
"GHANA COMMERCIAL BANK ACCRA NORTH BRANCH","AI1180131","Gcb Opposite P And T Head Office Circle","Greater Accra","5.583333,-0.199999"
"OMNIBSIC BANK","AI1300241","C9 14 Dzorwulu Olusegun Way Opposite All","Greater Accra","5.608613,-0.210991"
"OMNIBSIC BANK","AI1300339","Bawjiase Road Opp  Nsaniyaa Secondary Sc","Greater Accra","5.608613,-0.210991"
"SBG KASOA","AI1400187","Adjacent Insaayina School","Central","5.580533,-0.176796"
"CONSOLIDATED BANK","AI1360849","No.5 Centenary Close South Legon","Greater Accra","5.627637,-0.178248"
"OMNIBSIC BANK","AI1300054","Nima Highway Adj Marwarko Maamobi Nima","Greater Accra","5.580888,-0.19902"
"AGRICULTURAL DEVELOPMENT BANK","AI1000370","Gulf House","Greater Accra","5.62891,-0.177366"
"OMNIBSIC BANK","AI1300416","J Plaza Building  Formerly Randsford Uni","Greater Accra","5.62927,-0.177314"
"GHANA COMMERCIAL BANK NEW TAFO","AI1180845","Gcb Opposite Total Filling Station","Eastern","5.585492,-0.208054"
"NIB AKIM ODA","AI1070153","Opposite Total Filing Station","Eastern","5.585492,-0.208054"
"GHANA COMMERCIAL BANK KINTAMPO","AI1181352","Gcb Opposite Total Filling Station","Brong Ahafo","5.585492,-0.208054"
"EQUITY SAVINGS & LOANS LTD","AI1340500","Accra Central","Greater Accra","5.62927,-0.175125"
"REPUBLIC BANK GHANA","AI1210458","P. O. Box Ct 4603 Cantonments","Greater Accra","5.576765,-0.178484"
"REPUBLIC BANK GHANA","AI1210447","P. O. Box Ct 4603 Cantonments","Ashanti","5.576765,-0.178484"
"GHANA COMMERCIAL BANK TWIFO PRASO","AI1180692","Gcb Adjacent The Govt  Hospital","Central","5.575474,-0.193944"
"MERCHANT BANK","AI1150189","11th Lane Behind Old American Emb","Greater Accra","5.57948,-0.170623"
"NEWTOWN BRANCH","AI1110709","Off Newtown Rd Former Yazz Hot","Greater Accra","5.582586,-0.20843"
"PRUDENTIAL BANK","AI1090085","No 8 Nima Avenue Kanda Ring Road Ce","Greater Accra","5.573851,-0.192475"
"FIDELITY BANK","AI1121699","Airport Branch Opposite Dstv Office","Greater Accra","5.614469,-0.21556"
"MANYA KROBO RBL SOMANYA","AI1084563","Opposite Old Taxi Rank","Eastern","5.606662,-0.21757"
"JUDICIAL SERVICE BRANCH","AI1070526","High Street,accra.ghana","Greater Accra","5.583699,-0.210591"
"THE SEED FUNDS","AI1160782","37 Lorry Station","Greater Accra","5.58171,-0.20888"
"PRUDENTIAL BANK LIMITED","AI1090326","Circle Branch Oksart Place","Greater Accra","5.572998,-0.1916"
"FIDELITY BANK","AI1120126","Action Chapel Spintex Mani Road","Greater Accra","5.625638,-0.164432"
"NIB WA","AI1070131","Golden Key Wapaani","Upper West","5.631204,-0.171642"
"NEW TOWN BRANCH","AI1070669","New Town,accra","Greater Accra","5.585321,-0.212743"
"ACCRA NEW TOWN BRANCH","AI1003526","Agricultural Dev.bank","Greater Accra","5.585321,-0.212743"
"FIRST ATLANTIC BANK","AI1281090","Behind Malla Atta Mkt.","Greater Accra","5.579742,-0.208348"
"GHANA POST  ALAJO","AI1006091","Near The Market","Greater Accra","5.591657,-0.21692"
"BOA OSU BRANCH","AI1270100","Hse  No  F88 1 Cantonments Rd","Greater Accra","5.572279,-0.17996"
"MERCHANT BANK","AI1150277","No. 19a, Lagos Avenue","Greater Accra","5.632712,-0.172789"
"CONSOLIDATED BANK","AI1360036","No 5 Centenary Close South Legon","Greater Accra","5.635169,-0.179564"
"SONZELE RBL HAIN","AI1086927","Near The Hain Police Station","Upper West","5.571385,-0.18651"
"BOSOMTWE RBL","AI1086280","P O Box 13 Kuntunase","Ashanti","5.572716,-0.197041"
"SINAPI ABA TRUST SUHUM","AI1044073","Suhum Branch","Eastern","5.581428,-0.210891"
"MERCHANT BANK","AI1150309","House No F700 12 Osu","Greater Accra","5.570972,-0.189379"
"ZENITH BANK EAST LEGON BRANCH","AI1160166","Lagos Street","Greater Accra","5.633337,-0.172531"
"GHANA POST  BURMA CAMP","AI1006112","Opposite Ecobank Burma Camp","Greater Accra","5.587429,-0.157003"
"FIDELITY BANK LTD TUDU PC","AI1121819","Near Fire Service Traffic Light","Greater Accra","5.569771,-0.185117"
"RING ROAD CENTRAL BRANCH","AI1170088","Opp  Swiss Sch Ring Road Central Accra","Greater Accra","5.573415,-0.202469"
"GCB GHANA","AI1181660","24 Lagos Avenue East Legon","Greater Accra","5.634358,-0.172048"
"FBNBANK GHANA LIMITED","AI1310031","Rrc Branch Meridian House","Greater Accra","5.573128,-0.202202"
"THE SEED FUNDS","AI1160771","Plot 32 6th Circular Road","Greater Accra","5.574954,-0.168466"
"SBG RING ROAD","AI1400154","Pyramid House","Greater Accra","5.572658,-0.201468"
"ECOBANK BURMA CAMP","AI1041982","Burma Camp Adjacent Clico","Greater Accra","5.587519,-0.156636"
"GHANA COMMERCIAL BANK ABELENKPE BRANCH","AI1180229","Gcb Near Allied Filling Station","Greater Accra","5.569342,-0.188515"
"AGRIC  DEV  BANK  NIMA BRANCH","AI1005836","St. Kizito Catholic Church, Ni","Greater Accra Region","5.583699,-0.215499"
"AGRIC  DEV  BANK  NIMA BRANCH","AI1006178","St. Kizito Catholic Church, Ni","Greater Accra","5.583699,-0.215499"
"PRUDENTIAL BANK","AI1090502","Ghana Free Zones Authority Building","Greater Accra","5.576555,-0.165037"
"ACCESS BANK GHANA","AI1110282","Alajo Agency","Greater Accra","5.601141,-0.221926"
"FAB SPINTEX 2","AI1280857","Spintex Road","Greater Accra","5.626346,-0.160149"
"CONSOLIDATED BANK","AI1360519","Gimpa Administration Block","Greater Accra","5.636181,-0.200347"
"AGRICULTURAL DEVELOPMENT BANK","AI1000028","Csc, Ring Road Central","Greater Accra","5.572435,-0.203503"
"AGRIC DEV BANK","AI1001348","Ring Road","Greater Accra","5.572435,-0.203503"
"AGONA RBL ASAMANKESE","AI1083474","Opposite Ghana Union Traders A","Central","5.568215,-0.183862"
"GHANA COMMERCIAL BANK BURMA CAMP","AI1180263","Gcb Within Burma Camp","Greater Accra","5.595846,-0.151839"
"FAB NORTH RIDGE","AI1280088","No 1000 3 Dr Isert Road","Greater Accra","5.568873,-0.1972"
"CONSOLIDATED BANK","AI1361048","Opposite Ghana Telecom University","Greater Accra","5.597774,-0.222984"
"GUARANTY TRUST BANK","AI1100074","Labone Branch 3rd Soula Street","Greater Accra","5.569282,-0.175054"
"ZENITH BANK LABONE BRANCH","AI1160155","House No  F166 6","Greater Accra","5.571669,-0.169549"
"FIDELITY BANK KOKOMLEMLE PC","AI1121776","Hse No  602 New Town Rd","Greater Accra","5.577397,-0.212344"
"GCB GHANA","AI1181824","Opposite Zenith Bank","Greater Accra","5.571536,-0.169651"
"OMNIBSIC BANK","AI1300438","Near Bistro 22 Restaurant","Greater Accra","5.57136,-0.169017"
"ECOBANK WESTLAND BRANCH","AI1040794","Along Legon-gimpa Road","Greater Accra","5.569819,-0.172082"
"NIB OSU","AI1070087","Danquah Circle Near Flash Photos","Greater Accra","5.567188,-0.180521"
"GHANA POST COMPANY","AI1002921","Ghana Telecom Exchange","Ashanti","5.596135,-0.223477"
"ARB APEX BANK LTD TAMALE","AI1080910","Opposite Ghana Telecom","Northern","5.596135,-0.223477"
"SBG ACHIMOTA","AI1400165","New Bus Terminal","Greater Accra","5.612606,-0.223216"
"EAST LEGON BRANCH","AI1122469","East Legon, Lagos Avenue","Greater Accra","5.637559,-0.171259"
"FIDELITY BANK LTD DOME PC","AI1121918","Obrempong Plaza Opposite Heavy Do Chop B","Greater Accra","5.576382,-0.212527"
"CONSOLIDATED BANK","AI1360135","Opposite Sg Ssb Head Office Kokomlemle","Greater Accra","5.572452,-0.207578"
"FIDELITY BANK","AI1120225","Plot No 75 Ring Road Central","Greater Accra","5.571629,-0.206681"
"CONSOLIDATED BANK","AI1360630","2nd Emmause Lane  Opposite Uba","Greater Accra","5.570293,-0.168906"
"WAMFIE RBL SUNYANI","AI1081175","Opposite The Taxi Rank","Brong Ahafo","5.640504,-0.177493"
"GCB GHANA","AI1181769","Same Building Cape Coast Pharmacy","Central","5.603089,-0.225139"
"UBA GHANA","AI1170121","4 Boundary Rd Near Abedi Pele East Legon","Greater Accra","5.630258,-0.159348"
"UBA GHANA","AI1170109","96b Ndabaningi Sithole Rd","Greater Accra","5.569808,-0.16894"
"ACCRA NEW TOWN","AI1210315","Accra New Town","Greater Accra","5.578178,-0.215825"
"DIRECT SAVINGS AND LOANS","AI1049243","Opposite The Tesano Baptist Church","Greater Accra","5.60133,-0.225555"
"GCB GHANA","AI1181758","Adjacent Tesano Police Station","Greater Accra","5.603123,-0.225647"
"MERCHANT BANK","AI1150244","N 9 Ndebaninge Road Labone","Greater Accra","5.568267,-0.17174"
"FIDELITY BANK OSU OXFORD STREET BRANCH","AI1120050","Adwoa Adjiewaa Building Osu Accra","Greater Accra","5.565605,-0.180917"
"CONSOLIDATED BANK","AI1360751","Opposite Melcom Plus Shopping Arcade","Greater Accra","5.585361,-0.221143"
"CONSOLIDATED BANK","AI1361082","Banking Square  Univerisity Campus","Greater Accra","5.642522,-0.185884"
"KWAHU PRASO RBL ANYINAM","AI1087292","Opposite Kogbeko Pharmacy","Eastern","5.574127,-0.212245"
"ECOBANK LEGON BRANCH","AI1040628","Pmb, University Of Ghana, Lego","Greater Accra","5.642549,-0.184864"
"ZENITH BANK HEAD OFFICE BRANCH","AI1160023","No. 33 Independence Avenue","Greater Accra","5.565384,-0.193925"
"ABII NAT SAVINS AND LOANS","AI1160616","Priority House Adjacent","Greater Accra","5.57835,-0.216942"
"GCB GHANA","AI1181736","Opposite Quick Oxford Street Osu","Greater Accra","5.564865,-0.181231"
"AGRIC DEV BANK","AI1001359","Ring Road","Greater Accra","5.56538,-0.178261"
"FIDELITY BANK LTD OSU PC","AI1121974","Adjacent Sic Annex Ring Rd East","Greater Accra","5.56538,-0.178261"
"ECOBANK GHANA OKPONGLO","AI1042994","Near East Legon Vertinary","Greater Accra","5.64121,-0.17507"
"GOLDEN LINK TESANO","AI1048264","2 North Street Tesano Accra","Greater Accra","5.60654,-0.226425"
"HFC BANK LEGON BRANCH","AI1210085","Ug Credit Union Building","Greater Accra","5.643072,-0.185105"
"ZENITH BANK WINNEBA AGENCY","AI1160715","Co-operative Credit Union Comp","Central","5.643072,-0.185105"
"BUILSA CBL FUMBISI","AI1087225","Near The Gn Bank","Upper East","5.568519,-0.204962"
"OMNIBSIC BANK","AI1300328","Hse No  28 Faanofa Street Near Joy Fm Ko","Greater Accra","5.576125,-0.215363"
"GHANA COMMERCIAL BANK WENCHI","AI1181330","Gcb Opposite Ghana Telecom","Brong Ahafo","5.599675,-0.226466"
"AGRIC  DEV  BANK  LEGON BRANCH","AI1006156","University Of Ghana, Legon","Greater Accra","5.64313,-0.18392"
"PRUDENTIAL BANK","AI1090272","North Industrial Area Branch","Greater Accra","5.585318,-0.222121"
"FAB RING ROAD BRANCH","AI1280703","Hse No  920 3","Greater Accra","5.565186,-0.177997"
"HFC BANK EBENKESE BRANCH","AI1210030","35 Sixth Avenue North Ridge Accra","Greater Accra","5.564459,-0.182042"
"ECOBANK GHANA","AI1042905","East Airport Branch","Greater Accra","5.626685,-0.154511"
"ADB","AI1005034","Near Palace","Eastern","5.625553,-0.15367"
"ECOBANK LABONE BRANCH","AI1041409","Labone Branch","Greater Accra","5.56814,-0.169139"
"ASSINMAN RBL TWIFO PRASO","AI1087148","Within Internal Revenue Office Building","Central","5.642472,-0.177995"
"CONSOLIDATED BANK","AI1360498","Next To Kfc  Lagos Avenue","Greater Accra","5.639464,-0.169445"
"CAL BANK","AI1010193","23 Independence Avenue","Greater Accra","5.56469,-0.195275"
"AMENFIMAN RBL WASSA AKROPONG","AI1081252","Opposite Omanhene S Palace","Western","5.627235,-0.154553"
"UMB LEGON CAMPUS","AI1150408","University Of Legon Campus","Greater Accra","5.643686,-0.185242"
"GUARANTY TRUST BANK","AI1100063","Plot No 577 Oxford Street","Greater Accra","5.563924,-0.181479"
"MERCHANT BANK","AI1150233","No 23a New Town","Western","5.574173,-0.214392"
"SBG UNIVERSITY OF GHANA","AI1400396","Number 4 Banking Square","Greater Accra","5.644108,-0.186333"
"CAL BANK LTD","AI1010072","23 Independence Avenue","Greater Accra","5.563897,-0.19496"
"CAL BANK LTD   LEGON BRANCH","AI1010171","23 Independence Avenue","Greater Accra","5.563897,-0.19496"
"OMNIBSIC BANK","AI1300384","No  39 Osu High Street Accra","Greater Accra","5.563434,-0.181664"
"CAL BANK","AI1010214","Hse No 601/2","Greater Accra","5.61274,-0.226919"
"ACCESS BANK GHANA","AI1110215","Ring Road Central Business Off","Greater Accra","5.570778,-0.211583"
"ECOBANK GHANA   OSU","AI1040442","Osu Branch","Greater Accra","5.562828,-0.181679"
"GA RBL DJANMAN","AI1087115","Near The Mtn Pole Mast","Greater Accra","5.563245,-0.195849"
"MERCHANT BANK","AI1150035","No 57 Examination Loop North Ridge","Greater Accra","5.563957,-0.198716"
"ACCESS GHANA","AI1110545","No. 9 La Tebu Crescent","Greater Accra","5.57706,-0.154541"
"REPUBLIC BANK GHANA","AI1210403","Church Road","Western","5.574202,-0.216869"
"JUABEN RBL ABOASO","AI1083836","Near The Lorry Station","Ashanti","5.570802,-0.213258"
"SEKYEDUMASE RURAL BANK LTD ANLOGA","AI1082934","Near The Lorry Station","Ashanti","5.570802,-0.213258"
"DUMPONG RBL AKOASE","AI1084134","Near Lorry Station","Eastern","5.570802,-0.213258"
"SEKYEDUMASE RURAL BANK LTD KENYASE","AI1082945","Near The Lorry Station","Ashanti","5.570802,-0.213258"
"AMANTIN AND KASEI COMM BL KWAME DANSO","AI1082473","15 Meters From Lorry Station","Ashanti","5.570802,-0.213258"
"KWAMANMAN RURAL BANK LTD NSUTA","AI1082769","Near The Lorry Station","Ashanti","5.570802,-0.213258"
"CONSOLIDATED BANK","AI1360795","Ground  Floor Of Left Wing","Greater Accra","5.563995,-0.201829"
"GHANA COMMERCIAL BANK KISSEIMAN","AI1180230","Gcb Near Christian Village Junction","Greater Accra","5.635442,-0.215339"
"GHANA COMMERCIAL BANK NIMA","AI1180108","Gcb Near Alaska Cinema","Greater Accra","5.635442,-0.215339"
"GHANA COMMERCIAL BANK DROBO","AI1181275","Gcb Opposite Omega Fm","Brong Ahafo","5.635442,-0.215339"
